EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
40179865073,1,AWLIF,2023/12/07,NEWO,S,6,1,0,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179929146,1,TIL,2023/12/08,NEWO,S,20,1,0.000001,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179929500,1,FLJ,2023/12/07,NEWO,S,40,1,0,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179944632,1,XOS,2023/12/07,NEWO,S,30,1,0.0001,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179953904,1,PAVM,2023/12/07,NEWO,S,15,1,0.001,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179955166,1,SNCE,2023/12/08,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231207_LST_EVT_0.txt
40179586797,1,BLTHD,2023/12/08,NEWO,S,300,1,0.001,T,data/2023-12/e2020_20231208_LST_EVT_0.txt
40179937142,1,JG,2023/12/11,NEWO,S,20,1,0,T,data/2023-12/e2020_20231208_LST_EVT_0.txt
40179960889,1,NRUNF,,NEWO,S,25,1,0,T,data/2023-12/e2020_20231208_LST_EVT_0.txt
40179961475,1,SNCR,2023/12/11,NEWO,S,9,1,0.0001,T,data/2023-12/e2020_20231208_LST_EVT_0.txt
40179841164,1,TOEYF,2023/12/05,NEWO,S,50,1,0,T,data/2023-12/e2020_20231205_LST_EVT_3.txt
40179864920,1,CZOO,2023/12/06,NEWO,S,100,1,0.002,T,data/2023-12/e2020_20231205_LST_EVT_3.txt
40179926699,1,DECPF,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231205_LST_EVT_3.txt
40179955166,1,SNCE,2023/12/08,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231205_LST_EVT_3.txt
40179865073,1,AWLIF,2023/12/07,NEWO,S,6,1,0,T,data/2023-12/e2020_20231207_LST_EVT_3.txt
40179926699,1,DECPF,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231207_LST_EVT_3.txt
40179955166,1,SNCE,2023/12/08,NEWO,S,20,1,0.0001,T,data/2023-12/e2020_20231207_LST_EVT_3.txt
40179775323,1,HATGF,,NEWO,S,25,1,0.01,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
40179840973,1,LKOLF,2023/12/04,NEWO,S,1000,1,0,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
40179848616,1,FLLHF,2023/12/04,NEWO,S,50,1,0.01,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
40179865073,1,AWLIF,,NEWO,S,6,1,0,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
40179918126,1,XXMMF,2023/12/04,NEWO,S,5,1,0,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
